,images,label,content,contentc,contentp
0,rumor_images/a71ac854gw1dytin2zmk9j.jpg,0,"震惊，转发求证：【想都不敢想 ，在美国一桶金龙鱼食用油只要8元人民币】 一桶食用油相当于中国超市40多元(现在估计已经涨到五六十元了)的金龙鱼，在纽约沃尔玛感恩节时是1.6美元，圣诞节降至1.3美元。(折合人民币8.58元，而且油是绿色纯天然的，不是转基因的)，为什么中国一桶食用油要卖几十上百元？
","A bucket of consumption oil is equivalent to more than 40 yuan in Chinese supermarkets. It was 1.6 US dollars in Wal -Mart in New York, and Christmas fell to $ 1",
1,rumor_images/3ba161e7jw1e4i6j4ep61j211n0r4juz.jpg,0,"【法院无底线】湖南长沙一位小朋友上学路上捡到3万元，原地不动等失主，结果被人冒领。不知情的孩子到学校告知老师，被表扬，好人好事很快传开。真失主听说后，找上门要钱未果，竟然把孩子告上法庭。法院判决孩子家长赔偿6000元，气得家长大骂孩子：谁让你手贱捡那钱！by瀟湘墨人/@3千里
","A child in Changsha, Hunan picked up 30,000 yuan on the way to school. The unwavering children went to the school to inform the teacher that they were praised.",
2,rumor_images/006ajvCngw1ex4jjl2pwlj30c8096wf7.jpg,0,"转发:我校需要小孩的衣服,新旧不限!西藏阿里地区是世界海拔最高的地区请问周围有没有四到十岁孩子的旧衣服和鞋子,洗干净就可以,因为小朋友衣服少,捐的人少,所以这个岁数的孩子缺衣服,如果有合适的衣服可以邮寄的,地址:西藏阿里地区札达县曲松乡中心小学,邮编:857000年,校长:曲旦18889073300。
","Our school needs children's clothes, new and old. The Ali region in Tibet is the highest altitude area in the world.",
3,rumor_images/6112c76ajw1e591p39mpej20hw094mxh.jpg,0,"立刻检查一下你家里的牙膏，如果是黑色条马上扔掉！ 大家买膏请留心,买牙膏时注意牙膏管反面 底部的颜色条, 尽量选择绿色和蓝色。共分4种:绿、蓝、红、黑。绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学。 国内的牙膏包括儿童牙膏居然大多都是化学的 ，太过分了吧。&nbsp;&nbsp;&nbsp;
","Pay attention to the color bar at the bottom of the back of the toothpaste tube. Try to choose green and blue as much as possible. If it is a black strip, throw",
4,rumor_images/a5404163jw1e2iljwbrztj.jpg,0,"快快转发，急急急！中央电视台《焦点访谈》已经播出，可口可乐承认旗下(果粒橙)含有美国禁用农药「多菌灵」，多菌灵可致脑麻痺、肝脏腫瘤等癌症,。包括香港正在销售的（果粒橙），香港食环署正在了解此事件。 我在:2朱房路
","Coca -Cola admits that its (fruit orange) contains the disabled pesticide ""multi -bacterial spirit"" Multi -b bacterial spirit can cause cancer such as cerebral palsy and liver",
5,rumor_images/b7009851jw1eui8agp0bmj20no0vk7bl.jpg,0,"不要再随便买奶制品给孩子喝了❗️幼儿园都发通知了家长们注意：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。
","Wangzi Milk, Coca -Cola, Shuangxiu, Wahaha AD Calcium Milk, Future Star, QQ Star, Beautiful Sauce Fruit Milk Pineapple flavor. All",和|可人沁瑟必祥礁忆必四几.滞人
6,rumor_images/60e9e5ebjw1dw5pitsxomj.jpg,0,"【中国80吨国库黄金下落不明】香港《动向》：财政部、央行、监察部和审计署已经成立专案组，调查存放在八个省市国库内的黄金储备有八十吨下落不明。如果属实，一定是官员合伙盗窃。战乱时期，蒋介石历时半年把450万两黄金运往台湾都没丢一两。现在，国库黄金不翼而飞？ O网页链接
","The Ministry of Finance, the Central Bank, the Ministry of Supervisory Department and the Audit Office have set up a task force to investigate 80 tons of gold reserves in eight provinces and cities",
7,rumor_images/67747bd2jw1entsej8zo0j20bx0bo0td.jpg,0,"转贴：【35人死亡编制】35，神奇的数字。动车相撞35人死亡；重庆暴雨35人死亡；河南平顶山矿难35人死亡；山西临汾矿难35人死亡；深圳黄田机场空难35人死亡；云南曲靖假酒案35人死亡；辽宁铁岭烟花厂爆炸35人死亡……因为超过36人，市委书记级别官员要就地免职，故许多事件发生后，注定死亡人数不超36人
","35, magical number. 35 people died in the trains; 35 people die in Chongqing heavy rain; 35People died in Pingdingshan Mine in Henan. 35People",
8,rumor_images/5fd72d2cjw1e0stdrdiioj.jpg,0,"#爱#四川藏区需要4一10岁小孩的衣服和鞋子，新旧不限。，洗干净就可以地址四川省甘孜藏族石渠县西区长沙贡马乡小学， 邮编：627350 校长：达洼15884044467 如果没有合适的衣服可以邮寄，帮忙转一下贴也好，也许您的一下简单复制，就能给孩子们一个幸福的明天。天气冷给孩子们添加些棉衣寄过去吧。爱
","Sichuan Tibetan area requires the clothes and shoes of a 41 -year -old child. If you do n’t have a suitable clothes, you can mail it.",
9,rumor_images/9d18bd0ejw1eqr1e1phy3j20go0m8abq.jpg,0,"妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;望家长朋友们爱孩子 就别给他喝了！转！
","Wang Zi milk., Coca -Cola, Shuang crooked. AD calcium milk, Domeiz, Abbott, beautiful juice fruit grain milk pineapple flavor. All contain Botox.",
